,County,Month,Year,Unemployment Monthly,Households,Persons,EBT Cash
823,Ventura,February,2020,3.7%,34942,63189,7827565
824,Yolo,February,2020,4.8%,12155,19711,2589897
825,Yuba,February,2020,6.9%,7057,13946,1633957
826,Statewide,March,2020,5.6%,2191350,4077117,503768895
827,Alameda,March,2020,3.8%,66424,114173,13937791
828,Alpine,March,2020,7.1%,72,120,13602
829,Amador,March,2020,5.4%,1482,2531,303908
830,Butte,March,2020,6.7%,17053,28521,3491778
831,Calaveras,March,2020,5.4%,2907,5031,613336
832,Colusa,March,2020,22.4%,771,1600,184751
833,Contra Costa,March,2020,4.0%,34081,63989,7708109
834,Del Norte,March,2020,7.6%,3056,5536,622483
835,El Dorado,March,2020,4.7%,6865,11186,1412248
836,Fresno,March,2020,10.8%,93457,212957,24749259
837,Glenn,March,2020,8.7%,1679,3386,394129
838,Humboldt,March,2020,4.9%,13822,21519,2758237
839,Imperial,March,2020,20.5%,17769,38474,4378475
840,Inyo,March,2020,4.8%,1039,1866,233525
841,Kern,March,2020,12.0%,72082,155326,18977921
842,Kings,March,2020,12.3%,11536,24204,2879345
843,Lake,March,2020,7.0%,7456,12273,1469890
844,Lassen,March,2020,7.2%,1683,3054,375096
845,Los Angeles,March,2020,6.4%,680466,1181670,150966927
846,Madera,March,2020,10.5%,11680,26493,3206140
847,Marin,March,2020,3.0%,6754,10193,1348642
848,Mariposa,March,2020,7.6%,1259,2178,264436
849,Mendocino,March,2020,5.9%,6692,11420,1454375
850,Merced,March,2020,12.9%,24740,52282,6345026
851,Modoc,March,2020,11.5%,761,1425,163195
852,Mono,March,2020,4.9%,353,578,78085
853,Monterey,March,2020,11.8%,19278,40292,5116508
854,Napa,March,2020,4.0%,3294,5761,681498
855,Nevada,March,2020,4.6%,4876,7735,999495
856,Orange,March,2020,3.6%,110866,205680,24761627
857,Placer,March,2020,4.0%,8691,14387,1734062
858,Plumas,March,2020,13.2%,1289,2198,271594
859,Riverside,March,2020,5.3%,121285,240626,30568510
860,Sacramento,March,2020,4.7%,109933,218473,26381979
861,San Benito,March,2020,7.9%,2270,4490,566964
862,San Bernardino,March,2020,4.9%,156910,320415,40075694
863,San Diego,March,2020,4.1%,147924,268633,32581560
864,San Francisco,March,2020,3.0%,47789,66545,7395700
865,San Joaquin,March,2020,8.3%,46934,95262,11350527
866,San Luis Obispo,March,2020,3.8%,9968,16154,2004218
867,San Mateo,March,2020,2.8%,12283,20809,2563764
868,Santa Barbara,March,2020,5.6%,23253,41904,5414719
869,Santa Clara,March,2020,3.3%,49923,82967,10037562
870,Santa Cruz,March,2020,7.9%,15506,24868,3318922
871,Shasta,March,2020,6.8%,13979,23675,2690743
872,Sierra,March,2020,8.5%,170,260,31201
873,Siskiyou,March,2020,10.0%,3880,7173,833176
874,Solano,March,2020,5.0%,21596,37652,4757662
875,Sonoma,March,2020,3.6%,16660,26741,3232099
876,Stanislaus,March,2020,8.3%,37904,73491,8823691
877,Sutter,March,2020,11.1%,5529,11534,1380210
878,Tehama,March,2020,7.6%,5114,9805,1098375
879,Trinity,March,2020,9.2%,1094,1795,239286
880,Tulare,March,2020,14.5%,50677,114289,13908921
881,Tuolumne,March,2020,6.2%,3113,4929,582174
882,Ventura,March,2020,4.6%,34169,62936,7827128
883,Yolo,March,2020,5.9%,12174,19707,2566976
884,Yuba,March,2020,8.5%,7080,13946,1641641
885,Statewide,April,2020,16.1%,2419045,4487411,553765690
