,County,Year,Month,Cases,Deaths
504,San Diego,2020,August,1068211,19388
505,San Diego,2020,December,3612609,38017
506,San Diego,2020,February,20,0
507,San Diego,2020,July,683843,14303
508,San Diego,2020,June,304368,9876
509,San Diego,2020,March,4747,41
510,San Diego,2020,May,176630,7094
511,San Diego,2020,November,2003139,28238
512,San Diego,2020,October,1611218,26143
513,San Diego,2020,September,1298885,22277
514,San Diego,2021,April,6012731,79702
515,San Diego,2021,February,7046729,84253
516,San Diego,2021,January,6358933,63984
517,San Diego,2021,March,8243681,107039
518,San Francisco,2020,April,29980,481
519,San Francisco,2020,August,253561,2197
520,San Francisco,2020,December,600937,5318
521,San Francisco,2020,February,62,0
522,San Francisco,2020,July,152763,1624
523,San Francisco,2020,June,90185,1374
524,San Francisco,2020,March,3096,27
525,San Francisco,2020,May,64550,1108
526,San Francisco,2020,November,414108,4640
527,San Francisco,2020,October,366644,3961
528,San Francisco,2020,September,313793,2783
529,San Francisco,2021,April,787011,11086
530,San Francisco,2021,February,928071,10314
531,San Francisco,2021,January,871382,7816
532,San Francisco,2021,March,1079788,13964
533,San Joaquin,2020,April,10753,521
534,San Joaquin,2020,August,453565,7884
535,San Joaquin,2020,December,1085784,17494
536,San Joaquin,2020,July,239550,2705
537,San Joaquin,2020,June,57954,1319
538,San Joaquin,2020,March,1053,47
539,San Joaquin,2020,May,21294,952
540,San Joaquin,2020,November,717219,15006
541,San Joaquin,2020,October,656838,14904
542,San Joaquin,2020,September,579954,12001
543,San Joaquin,2021,April,1560403,29188
544,San Joaquin,2021,February,1819354,27562
545,San Joaquin,2021,January,1718241,23462
546,San Joaquin,2021,March,2116963,37651
547,San Luis Obispo,2020,April,3818,27
548,San Luis Obispo,2020,August,75243,577
549,San Luis Obispo,2020,December,254443,1704
550,San Luis Obispo,2020,July,36047,186
551,San Luis Obispo,2020,June,11433,30
552,San Luis Obispo,2020,March,631,0
553,San Luis Obispo,2020,May,7332,31
554,San Luis Obispo,2020,November,156921,1022
555,San Luis Obispo,2020,October,123207,980
556,San Luis Obispo,2020,September,99256,761
557,San Luis Obispo,2021,April,457040,5640
558,San Luis Obispo,2021,February,531380,5790
559,San Luis Obispo,2021,January,459957,3934
560,San Luis Obispo,2021,March,623279,7749
561,San Mateo,2020,April,23533,829
562,San Mateo,2020,August,214129,3874
563,San Mateo,2020,December,597811,5929
564,San Mateo,2020,July,134268,3510
565,San Mateo,2020,June,78695,2912
566,San Mateo,2020,March,2817,54
567,San Mateo,2020,May,50692,2109
568,San Mateo,2020,November,379405,4990
569,San Mateo,2020,October,332267,4835
570,San Mateo,2020,September,276125,4229
571,San Mateo,2021,April,899091,12230
572,San Mateo,2021,February,1054602,13027
573,San Mateo,2021,January,953188,9111
574,San Mateo,2021,March,1232019,16586
575,Santa Barbara,2020,April,9915,107
576,Santa Barbara,2020,August,226293,2426
577,Santa Barbara,2020,December,436403,4499
578,Santa Barbara,2020,July,146895,990
579,Santa Barbara,2020,June,65125,596
580,Santa Barbara,2020,March,524,0
