County,Month,Date,Calendar Year,Unemployment Monthly,CalFresh Households,CalFresh Persons,Applications Recevied,Online Applications Received,EBT_FSP_dollars
Alpine,November,Nov-20,2020,7.1%,60,100,5,3,"10,675"
Amador,November,Nov-20,2020,7.0%,"1,472","2,529",141,77,"296,124"
Butte,November,Nov-20,2020,6.8%,"16,731","27,522","1,379",904,"3,358,435"
Calaveras,November,Nov-20,2020,5.9%,"2,758","4,750",197,98,"595,055"
Colusa,November,Nov-20,2020,10.8%,896,"1,794",82,46,"205,632"
Contra Costa,November,Nov-20,2020,6.8%,"41,736","76,656","2,494","1,981","9,180,650"
Del Norte,November,Nov-20,2020,7.6%,"3,055","5,458",186,80,"619,181"
El Dorado,November,Nov-20,2020,5.7%,"6,753","10,698",662,321,"1,326,496"
Fresno,November,Nov-20,2020,8.6%,"93,977","260,212","6,550","5,337","23,084,195"
Glenn,November,Nov-20,2020,6.0%,"1,580","3,154",129,61,"363,152"
Humboldt,November,Nov-20,2020,6.0%,"13,462","21,139","1,148",533,"2,669,125"
Imperial,November,Nov-20,2020,16.4%,"17,590","37,942","1,083",617,"4,455,271"
Inyo,November,Nov-20,2020,5.8%,"1,013","1,837",84,17,"225,453"
Kern,November,Nov-20,2020,9.4%,"71,641","154,228","6,134","3,823","18,986,251"
Kings,November,Nov-20,2020,8.9%,"11,081","23,371","1,014",518,"2,770,590"
Lake,November,Nov-20,2020,7.3%,"7,311","12,147",394,252,"1,425,144"
Lassen,November,Nov-20,2020,5.3%,"1,732","3,105",128,47,"380,499"
Los Angeles,November,Nov-20,2020,10.6%,"759,930","1,299,069","51,399","39,765","167,140,781"
Madera,November,Nov-20,2020,8.1%,"11,878","26,926",774,330,"3,306,781"
Marin,November,Nov-20,2020,4.7%,"8,151","12,460",455,254,"1,664,944"
Mariposa,November,Nov-20,2020,7.6%,"1,384","2,290",101,38,"277,272"
Mendocino,November,Nov-20,2020,6.8%,"6,705","11,491",491,337,"1,423,685"
Merced,November,Nov-20,2020,9.0%,"23,951","50,912","1,638",809,"6,254,616"
Modoc,November,Nov-20,2020,6.2%,724,"1,313",43,15,"153,025"
Mono,November,Nov-20,2020,8.1%,428,696,47,31,"88,180"
Monterey,November,Nov-20,2020,7.7%,"18,502","37,656","2,488","1,088","4,638,809"
Napa,November,Nov-20,2020,6.0%,"3,880","6,807",500,259,"794,003"
Nevada,November,Nov-20,2020,5.6%,"4,938","7,705",353,248,"984,651"
Orange,November,Nov-20,2020,6.4%,"125,767","232,111","10,089","6,648","27,325,712"
Placer,November,Nov-20,2020,5.2%,"9,233","14,555",666,546,"1,685,135"
Plumas,November,Nov-20,2020,7.2%,"1,271","2,106",122,55,"252,373"
Riverside,November,Nov-20,2020,7.8%,"119,370","237,999","12,494","10,101","29,584,782"
Sacramento,November,Nov-20,2020,7.4%,"111,399","217,345","7,296","5,439","25,780,578"
San Benito,November,Nov-20,2020,6.9%,"2,503","4,999",193,89,"620,252"
San Bernardino,November,Nov-20,2020,8.0%,"147,899","303,509","13,017","8,647","38,289,264"
San Diego,November,Nov-20,2020,6.6%,"188,349","338,000","14,149","11,119","37,747,893"
San Francisco,November,Nov-20,2020,5.7%,"57,800","81,234","3,181","2,515","8,998,075"
San Joaquin,November,Nov-20,2020,9.0%,"47,066","94,825","3,143","1,997","11,277,641"
San Luis Obispo,November,Nov-20,2020,5.4%,"10,140","16,697",834,532,"1,923,451"
San Mateo,November,Nov-20,2020,5.1%,"15,733","27,563","1,367","1,003","3,255,584"
Santa Barbara,November,Nov-20,2020,5.8%,"23,611","42,238","1,930","1,267","5,075,751"
Santa Clara,November,Nov-20,2020,5.1%,"59,463","100,289","3,279","2,547","11,758,793"
Santa Cruz,November,Nov-20,2020,6.7%,"16,017","25,928",959,578,"3,204,943"
Shasta,November,Nov-20,2020,6.5%,"13,650","22,980","1,308",713,"2,545,593"
Sierra,November,Nov-20,2020,5.0%,150,232,9,5,"23,100"
Siskiyou,November,Nov-20,2020,7.3%,"4,096","7,222",347,234,"842,858"
Solano,November,Nov-20,2020,7.5%,"24,401","42,611","1,683","1,060","4,929,175"
Sonoma,November,Nov-20,2020,5.5%,"19,059","31,059",989,837,"3,559,523"
Stanislaus,November,Nov-20,2020,8.3%,"35,741","69,436","2,961","1,684","8,224,821"
Sutter,November,Nov-20,2020,8.6%,"5,406","11,152",406,270,"1,346,950"
Tehama,November,Nov-20,2020,6.8%,"5,051","9,398",403,212,"1,045,443"
Trinity,November,Nov-20,2020,6.1%,"1,161","1,881",77,40,"244,017"
Tulare,November,Nov-20,2020,9.8%,"46,341","104,666","2,593","1,678","12,792,744"
Tuolumne,November,Nov-20,2020,7.4%,"3,075","4,726",245,113,"545,615"
Ventura,November,Nov-20,2020,6.3%,"34,752","68,415","2,153","1,403","7,973,049"
Yolo,November,Nov-20,2020,5.8%,"12,383","20,106",958,700,"2,555,335"
Yuba,November,Nov-20,2020,8.7%,"6,870","13,742",456,318,"1,612,486"
Statewide,December,Dec-20,2020,8.8%,"2,346,777","4,355,092","232,255","179,307","522,050,103"
Alameda,December,Dec-20,2020,7.6%,"78,156","131,805","9,479","7,041","15,364,421"
Alpine,December,Dec-20,2020,7.3%,59,93,4,1,"10,445"
Amador,December,Dec-20,2020,8.4%,"1,462","2,517",236,164,"294,707"
Butte,December,Dec-20,2020,8.2%,"16,485","27,247","1,872","1,363","3,273,105"
Calaveras,December,Dec-20,2020,7.3%,"2,780","4,825",278,184,"591,822"
Colusa,December,Dec-20,2020,15.5%,934,"1,865",95,86,"211,777"
Contra Costa,December,Dec-20,2020,7.9%,"41,836","76,656","4,176","3,555","9,117,582"
Del Norte,December,Dec-20,2020,9.2%,"3,074","5,462",221,137,"625,575"
El Dorado,December,Dec-20,2020,7.0%,"6,744","10,677",947,508,"1,311,431"
Fresno,December,Dec-20,2020,10.4%,"93,515","261,526","8,606","7,474","23,105,415"
Glenn,December,Dec-20,2020,7.7%,"1,555","3,079",134,80,"349,392"
Humboldt,December,Dec-20,2020,7.5%,"13,383","21,034","1,439",719,"2,625,302"
Imperial,December,Dec-20,2020,17.7%,"17,425","37,648","1,441",967,"4,389,718"
Inyo,December,Dec-20,2020,6.9%,"1,019","1,862",116,28,"227,187"
Kern,December,Dec-20,2020,11.3%,"70,804","152,838","7,275","4,872","18,754,363"
Kings,December,Dec-20,2020,11.0%,"11,034","23,346","1,072",630,"2,747,758"
Lake,December,Dec-20,2020,9.0%,"7,252","12,022",629,463,"1,399,253"
Lassen,December,Dec-20,2020,7.1%,"1,724","3,094",157,93,"382,752"
Los Angeles,December,Dec-20,2020,10.7%,"760,063","1,297,558","78,490","63,639","165,894,150"
Madera,December,Dec-20,2020,9.9%,"11,841","26,878","1,080",539,"3,274,579"
Marin,December,Dec-20,2020,5.5%,"8,177","12,521",665,446,"1,655,712"
Mariposa,December,Dec-20,2020,10.3%,"1,420","2,365",150,75,"289,954"
Mendocino,December,Dec-20,2020,8.1%,"6,756","11,600",675,501,"1,414,936"
Merced,December,Dec-20,2020,11.5%,"23,834","50,703","2,373","1,324","6,201,440"
Modoc,December,Dec-20,2020,8.9%,713,"1,279",68,35,"139,828"
Mono,December,Dec-20,2020,8.9%,471,770,116,102,"97,653"
Monterey,December,Dec-20,2020,11.4%,"19,074","39,244","3,206","1,769","4,982,404"
Napa,December,Dec-20,2020,7.3%,"3,969","6,964",626,419,"809,621"
Nevada,December,Dec-20,2020,6.8%,"4,873","7,626",569,421,"952,944"
Orange,December,Dec-20,2020,7.4%,"125,847","231,110","15,438","11,321","27,042,339"
Placer,December,Dec-20,2020,6.2%,"9,214","14,595","1,032",895,"1,690,134"
Plumas,December,Dec-20,2020,10.7%,"1,294","2,178",145,73,"264,268"
Riverside,December,Dec-20,2020,9.1%,"118,041","235,562","18,029","15,611","28,967,440"
Sacramento,December,Dec-20,2020,8.5%,"109,847","213,765","12,011","9,503","25,387,051"
San Benito,December,Dec-20,2020,8.7%,"2,562","5,092",313,194,"620,818"
San Bernardino,December,Dec-20,2020,9.2%,"143,813","297,337","17,407","13,442","37,285,215"
San Diego,December,Dec-20,2020,8.0%,"188,904","337,549",,,"37,795,713"
San Francisco,December,Dec-20,2020,6.4%,"58,481","82,179","4,823","3,879","9,068,332"
San Joaquin,December,Dec-20,2020,10.6%,"46,980","94,695","4,557","3,327","11,236,708"
San Luis Obispo,December,Dec-20,2020,6.7%,"10,267","16,899","1,274",969,"1,935,320"
San Mateo,December,Dec-20,2020,5.8%,"15,719","27,421","2,360","1,884","3,220,048"
Santa Barbara,December,Dec-20,2020,7.6%,"23,565","42,374","2,794","1,835","5,090,683"
Santa Clara,December,Dec-20,2020,5.9%,"58,957","99,149","5,651","4,920","11,603,122"
Santa Cruz,December,Dec-20,2020,8.5%,"15,994","25,950","1,234",797,"3,236,912"
Shasta,December,Dec-20,2020,8.0%,"13,555","22,869","1,603",989,"2,529,430"
Sierra,December,Dec-20,2020,7.0%,161,244,19,11,"26,179"
Siskiyou,December,Dec-20,2020,10.7%,"4,113","7,234",403,285,"837,687"
Solano,December,Dec-20,2020,8.8%,"24,227","42,333","2,518","1,690","4,837,934"
Sonoma,December,Dec-20,2020,6.5%,"18,589","30,337","1,135",989,"3,513,408"
Stanislaus,December,Dec-20,2020,9.9%,"35,098","68,315","4,291","2,846","8,059,698"
Sutter,December,Dec-20,2020,10.9%,"5,390","11,226",607,449,"1,360,661"
Tehama,December,Dec-20,2020,8.7%,"4,964","9,196",504,304,"1,012,454"
Trinity,December,Dec-20,2020,8.4%,0,0,,,"232,941"
Tulare,December,Dec-20,2020,11.8%,"44,400","100,736","2,461","1,405","12,258,846"
Tuolumne,December,Dec-20,2020,9.5%,"3,049","4,662",338,202,"531,751"
Ventura,December,Dec-20,2020,7.5%,"34,400","63,706","3,346","2,460","7,818,782"
Yolo,December,Dec-20,2020,7.0%,"12,170","19,850","1,214",943,"2,534,266"
Yuba,December,Dec-20,2020,10.4%,"6,744","13,425",553,449,"1,556,737"
Statewide,January,Jan-21,2021,9.2%,"2,384,171","4,455,651","211,179","162,944","525,016,256"
Alameda,January,Jan-21,2021,7.2%,"79,808","133,661",,,"15,425,325"
Alpine,January,Jan-21,2021,6.9%,62,101,9,6,"12,117"
Amador,January,Jan-21,2021,8.3%,"1,477","2,516",212,132,"294,412"
Butte,January,Jan-21,2021,8.1%,"16,623","27,476","1,670","1,247","3,278,018"
Calaveras,January,Jan-21,2021,7.0%,"2,831","4,893",193,117,"587,358"
Colusa,January,Jan-21,2021,16.0%,965,"1,917",87,57,"217,723"
Contra Costa,January,Jan-21,2021,7.5%,"42,830","77,919","3,547","2,913","9,141,815"
Del Norte,January,Jan-21,2021,9.0%,"3,073","5,436",193,121,"622,188"
El Dorado,January,Jan-21,2021,6.9%,"6,911","10,979",704,385,"1,328,743"
Fresno,January,Jan-21,2021,10.1%,"93,994","261,047","7,456","6,370","22,988,918"
Glenn,January,Jan-21,2021,8.0%,"1,572","3,120",145,89,"359,646"
Humboldt,January,Jan-21,2021,7.4%,"13,406","21,031","1,291",662,"2,596,611"
Imperial,January,Jan-21,2021,16.5%,"17,458","37,712","1,180",724,"4,358,927"
Inyo,January,Jan-21,2021,6.9%,"1,022","1,865",75,19,"225,067"
Kern,January,Jan-21,2021,10.8%,"71,792","154,242","9,358","6,921","18,890,132"
Kings,January,Jan-21,2021,10.9%,"11,211","23,646","1,040",576,"2,777,142"
Lake,January,Jan-21,2021,8.9%,"7,369","12,278",537,362,"1,417,747"
Lassen,January,Jan-21,2021,7.0%,"1,726","3,094",,,"375,281"
Los Angeles,January,Jan-21,2021,12.7%,"774,734","1,317,851","65,183","52,422","166,923,934"
Madera,January,Jan-21,2021,9.8%,"12,034","27,203",872,463,"3,293,297"
Marin,January,Jan-21,2021,5.4%,"8,423","12,923",595,398,"1,685,573"
Mariposa,January,Jan-21,2021,12.0%,"1,471","2,446",105,54,"291,898"
Mendocino,January,Jan-21,2021,7.7%,"6,858","11,716",575,426,"1,427,526"
Merced,January,Jan-21,2021,11.6%,"24,092","51,250","1,953","1,106","6,268,859"
Modoc,January,Jan-21,2021,9.4%,726,"1,311",47,23,"146,825"
Mono,January,Jan-21,2021,9.0%,532,860,93,71,"106,177"
Monterey,January,Jan-21,2021,11.5%,"19,928","41,223","2,622","1,493","5,283,720"
Napa,January,Jan-21,2021,8.8%,"4,158","7,288",504,333,"824,033"
Nevada,January,Jan-21,2021,6.7%,"4,945","7,737",439,328,"955,347"
Orange,January,Jan-21,2021,7.3%,"128,369","234,234","12,365","9,146","27,263,450"
Placer,January,Jan-21,2021,6.0%,"9,175","15,115",811,712,"1,735,400"
Plumas,January,Jan-21,2021,12.0%,"1,325","2,222",96,59,"266,370"
Riverside,January,Jan-21,2021,8.6%,"119,905","237,919","15,092","12,960","28,889,230"
Sacramento,January,Jan-21,2021,8.1%,"110,905","213,999","10,811","8,214","25,521,730"
San Benito,January,Jan-21,2021,8.9%,"2,644","5,247",239,143,"639,786"
San Bernardino,January,Jan-21,2021,8.6%,"144,573","297,640","15,769","11,813","37,052,711"
San Diego,January,Jan-21,2021,8.0%,"191,965","340,596","17,539","14,216","38,052,951"
San Francisco,January,Jan-21,2021,6.2%,"59,597","83,673","4,091","3,269","9,307,208"
San Joaquin,January,Jan-21,2021,10.0%,"47,575","95,361","4,420","3,473","11,266,966"
San Luis Obispo,January,Jan-21,2021,6.8%,"10,491","17,176","1,041",779,"1,941,011"
San Mateo,January,Jan-21,2021,5.7%,"16,166","28,097","2,019","1,558","3,257,883"
Santa Barbara,January,Jan-21,2021,7.8%,"23,994","43,025","2,398","1,718","5,271,965"
Santa Clara,January,Jan-21,2021,5.7%,"60,248","100,806","4,709","3,907","11,757,972"
Santa Cruz,January,Jan-21,2021,8.7%,"16,204","26,348","1,089",757,"3,281,996"
Shasta,January,Jan-21,2021,7.9%,"13,693","23,103","1,418",849,"2,525,898"
Sierra,January,Jan-21,2021,7.6%,172,261,17,10,"27,516"
Siskiyou,January,Jan-21,2021,9.9%,"4,146","7,305",342,242,"852,237"
Solano,January,Jan-21,2021,8.6%,"24,745","42,955","2,096","1,334","4,870,878"
Sonoma,January,Jan-21,2021,7.1%,"18,506","30,183","1,513","1,362","3,536,629"
Stanislaus,January,Jan-21,2021,9.4%,"35,690","69,144","3,592","2,296","8,170,224"
Sutter,January,Jan-21,2021,10.4%,"5,532","11,450",508,356,"1,383,215"
Tehama,January,Jan-21,2021,8.1%,"5,012","9,257",473,290,"1,008,878"
Trinity,January,Jan-21,2021,7.8%,"1,160","1,896",95,42,"242,084"
Tulare,January,Jan-21,2021,11.5%,"43,593","98,649","2,990","1,898","12,394,912"
Tuolumne,January,Jan-21,2021,9.2%,"3,130","4,829",327,215,"536,590"
Ventura,January,Jan-21,2021,7.4%,"34,498","116,798","2,851","2,099","7,736,951"
Yolo,January,Jan-21,2021,7.0%,"12,244","19,907","1,083",808,"2,519,320"
Yuba,January,Jan-21,2021,10.1%,"6,883","13,715",700,601,"1,599,938"
Statewide,February,Feb-21,2021,8.4%,"2,396,924","4,358,167","178,239","129,724","749,752,374"
Alameda,February,Feb-21,2021,6.8%,"82,449","137,321",,,"22,031,493"
Alpine,February,Feb-21,2021,7.3%,66,113,7,0,"17,359"
Amador,February,Feb-21,2021,7.9%,0,0,,,"428,988"
Butte,February,Feb-21,2021,7.7%,"16,762","27,675","1,600","1,194","4,736,658"
Calaveras,February,Feb-21,2021,6.6%,"2,825","4,881",207,114,"841,338"
Colusa,February,Feb-21,2021,15.9%,995,"1,966",74,46,"329,618"
Contra Costa,February,Feb-21,2021,7.1%,"44,389","80,233","2,889","2,291","13,095,225"
Del Norte,February,Feb-21,2021,8.6%,"3,059","5,449",158,103,"890,461"
El Dorado,February,Feb-21,2021,6.6%,"6,908","10,996",574,292,"1,890,640"
Fresno,February,Feb-21,2021,9.9%,"96,657","205,229","6,883","5,786","33,208,846"
Glenn,February,Feb-21,2021,7.6%,"1,565","3,084",143,80,"507,206"
Humboldt,February,Feb-21,2021,7.0%,0,0,"1,186",580,"3,696,053"
Imperial,February,Feb-21,2021,15.9%,"17,475","37,741","1,180",755,"6,244,594"
Inyo,February,Feb-21,2021,6.6%,"1,038","1,906",92,23,"328,999"
Kern,February,Feb-21,2021,10.8%,"71,583","153,633","7,054","4,660","27,141,755"
Kings,February,Feb-21,2021,10.7%,"11,310","23,842",948,502,"4,027,225"
Lake,February,Feb-21,2021,8.3%,"7,515","12,569",,,"2,065,780"
Lassen,February,Feb-21,2021,6.9%,"1,741","3,133",120,64,"537,279"
Los Angeles,February,Feb-21,2021,10.9%,"786,158","1,335,472","54,983","40,706","236,532,554"
Madera,February,Feb-21,2021,9.5%,"12,194","27,586",872,414,"4,762,171"
Marin,February,Feb-21,2021,5.0%,"8,469","12,982",498,301,"2,348,370"
Mariposa,February,Feb-21,2021,10.1%,"1,488","2,488",84,36,"428,486"
Mendocino,February,Feb-21,2021,7.3%,"6,952","11,958",500,369,"2,078,618"
Merced,February,Feb-21,2021,11.5%,"24,211","51,601","1,700",936,"8,925,997"
Modoc,February,Feb-21,2021,9.3%,738,"1,330",50,17,"213,341"
Mono,February,Feb-21,2021,7.9%,536,860,46,33,"148,329"
Monterey,February,Feb-21,2021,10.9%,"20,480","42,623","2,078","1,166","7,662,570"
Napa,February,Feb-21,2021,7.1%,"4,204","7,384",394,215,"1,202,016"
Nevada,February,Feb-21,2021,6.3%,0,0,,,"1,372,163"
Orange,February,Feb-21,2021,6.8%,"132,584","240,292","10,605","7,442","38,945,856"
Placer,February,Feb-21,2021,5.7%,"9,794","15,260",687,581,"2,497,454"
Plumas,February,Feb-21,2021,12.2%,"1,346","2,277",126,64,"388,378"
Riverside,February,Feb-21,2021,8.0%,"120,176","237,868","13,259","10,999","41,012,977"
Sacramento,February,Feb-21,2021,7.7%,"113,599","217,792","8,766","6,234","36,083,330"
San Benito,February,Feb-21,2021,8.5%,"2,678","5,313",183,104,"915,313"
San Bernardino,February,Feb-21,2021,8.1%,"144,717","297,741","14,305","9,840","51,827,189"
San Diego,February,Feb-21,2021,7.2%,"197,217","348,109","15,550","12,357","55,530,817"
San Francisco,February,Feb-21,2021,5.7%,"61,938","87,058","3,584","2,665","13,838,903"
San Joaquin,February,Feb-21,2021,9.5%,"48,055","96,170","3,884","2,737","16,367,760"
San Luis Obispo,February,Feb-21,2021,6.3%,"10,842","17,649",847,575,"2,809,112"
San Mateo,February,Feb-21,2021,5.3%,"16,848","29,154","1,601","1,153","4,691,348"
Santa Barbara,February,Feb-21,2021,7.1%,"24,936","44,543","2,051","1,435","7,646,633"
Santa Clara,February,Feb-21,2021,5.3%,"61,832","102,818","4,128","3,274","16,900,488"
Santa Cruz,February,Feb-21,2021,8.4%,"16,805","27,283",898,565,"4,650,218"
Shasta,February,Feb-21,2021,7.8%,"13,802","23,248","1,295",769,"3,683,407"
Sierra,February,Feb-21,2021,7.5%,171,259,7,0,"42,673"
Siskiyou,February,Feb-21,2021,9.7%,"4,214","7,498",312,212,"1,244,912"
Solano,February,Feb-21,2021,8.1%,"25,452","43,972","1,841","1,089","7,036,206"
Sonoma,February,Feb-21,2021,6.4%,"18,837","30,652","1,588","1,406","5,021,646"
Stanislaus,February,Feb-21,2021,9.0%,"35,917","69,479","3,317","1,987","11,678,840"
Sutter,February,Feb-21,2021,10.3%,"5,593","11,563",418,307,"1,973,130"
Tehama,February,Feb-21,2021,8.0%,"5,103","9,283",473,271,"1,466,702"
Trinity,February,Feb-21,2021,7.6%,"1,164","1,898",83,44,"341,908"
Tulare,February,Feb-21,2021,11.4%,"45,068","101,481",,,"17,778,143"
Tuolumne,February,Feb-21,2021,8.7%,"3,170","4,907",238,127,"786,603"
Ventura,February,Feb-21,2021,6.8%,"36,565","67,207","2,499","1,720","11,082,712"
Yolo,February,Feb-21,2021,6.8%,0,0,"1,108",877,"3,572,432"
Yuba,February,Feb-21,2021,9.9%,"6,734","13,338",266,207,"2,243,153"
