County,Month,Date,Calendar Year,Unemployment Monthly,CalFresh Households,CalFresh Persons,Applications Recevied,Online Applications Received,EBT_FSP_dollars
Shasta,April,Apr-19,2019,4.9%,"11,471","21,116","1,148",254,"2,683,672"
Sierra,April,Apr-19,2019,6.8%,130,219,10,2,"26,475"
Siskiyou,April,Apr-19,2019,7.3%,"3,166","6,381",248,99,"817,780"
Solano,April,Apr-19,2019,3.7%,"18,892","34,509","1,587",599,"4,711,939"
Sonoma,April,Apr-19,2019,2.6%,"2,740","3,514","1,059",524,"490,330"
Stanislaus,April,Apr-19,2019,6.4%,"33,944","69,856","2,926",680,"9,084,457"
Sutter,April,Apr-19,2019,8.4%,"4,862","10,992",406,128,"1,402,189"
Tehama,April,Apr-19,2019,5.9%,"4,174","8,695",358,100,"1,078,997"
Trinity,April,Apr-19,2019,6.1%,915,"1,551",92,35,"219,167"
Tulare,April,Apr-19,2019,9.8%,"47,901","109,338","2,141",270,"14,428,361"
Tuolumne,April,Apr-19,2019,4.6%,"2,669","4,425",239,34,"565,999"
Ventura,April,Apr-19,2019,3.2%,"31,534","66,280","2,685",729,"7,894,484"
Yolo,April,Apr-19,2019,4.0%,"10,089","17,252","1,203",490,"2,416,039"
Yuba,April,Apr-19,2019,6.4%,"6,020","12,693",455,86,"1,645,164"
Statewide,May,May-19,2019,3.5%,"1,852,660","3,672,150","238,176","113,264","489,455,824"
Alameda,May,May-19,2019,2.5%,"51,206","91,776","8,074","3,755","12,911,207"
Alpine,May,May-19,2019,6.0%,71,119,7,1,"15,284"
Amador,May,May-19,2019,3.2%,"1,383","2,461",167,55,"308,535"
Butte,May,May-19,2019,4.3%,"15,385","27,344","2,418","1,371","3,656,617"
Calaveras,May,May-19,2019,3.3%,"2,601","4,542",297,90,"593,031"
Colusa,May,May-19,2019,10.4%,639,"1,361",92,32,"168,764"
Contra Costa,May,May-19,2019,2.6%,"28,297","54,959","3,384","1,268","7,491,053"
Del Norte,May,May-19,2019,4.7%,"2,464","4,675",363,108,"609,098"
El Dorado,May,May-19,2019,3.1%,"6,140","10,436",830,267,"1,374,573"
Fresno,May,May-19,2019,6.4%,"86,326","200,041","7,104","3,054","25,709,380"
Glenn,May,May-19,2019,5.6%,"1,440","3,073",198,76,"374,736"
Humboldt,May,May-19,2019,2.9%,"11,964","19,074","2,441",700,"2,668,259"
Imperial,May,May-19,2019,16.4%,"16,006","37,233","1,644",456,"4,601,532"
Inyo,May,May-19,2019,3.0%,923,"1,707",77,9,"222,983"
Kern,May,May-19,2019,7.2%,"64,472","145,946","7,013","2,243","18,938,793"
Kings,May,May-19,2019,6.7%,"10,166","22,450","1,140",299,"2,805,022"
Lake,May,May-19,2019,4.2%,"6,145","10,912","1,300",385,"1,409,278"
Lassen,May,May-19,2019,4.0%,"1,457","2,805",164,20,"381,030"
Los Angeles,May,May-19,2019,3.9%,"538,656","1,018,751","85,989","52,540","140,267,628"
Madera,May,May-19,2019,6.3%,"10,603","25,412",815,143,"3,254,093"
Marin,May,May-19,2019,1.9%,"5,747","9,123",728,289,"1,253,710"
Mariposa,May,May-19,2019,3.7%,"1,045","1,895",146,30,"240,544"
Mendocino,May,May-19,2019,3.2%,"5,838","10,657",746,205,"1,463,305"
Merced,May,May-19,2019,7.3%,"22,105","49,358","2,617",659,"6,352,889"
Modoc,May,May-19,2019,5.8%,610,"1,214",86,21,"152,832"
Mono,May,May-19,2019,3.1%,331,575,48,15,"75,438"
Monterey,May,May-19,2019,4.7%,"18,079","39,327","1,716",654,"5,072,986"
Napa,May,May-19,2019,2.3%,"2,695","5,195",305,110,"636,769"
Nevada,May,May-19,2019,3.0%,"4,305","7,179",535,225,"934,819"
Orange,May,May-19,2019,2.4%,"96,833","187,659","10,606","4,225","24,738,764"
Placer,May,May-19,2019,2.7%,"7,506","13,414",959,561,"1,678,549"
Plumas,May,May-19,2019,6.3%,"1,142","2,031",127,43,"275,347"
Riverside,May,May-19,2019,3.6%,"108,249","229,765","14,833","6,578","30,053,709"
Sacramento,May,May-19,2019,3.2%,"90,512","186,156",,,"25,299,861"
San Benito,May,May-19,2019,4.5%,"2,054","4,349",198,62,"556,051"
San Bernardino,May,May-19,2019,3.3%,"144,798","310,010","15,915","5,500","41,067,446"
